"Subject","Chapter","Topic"
"Deep Learning Fundamentals","Learning Rate Scheduling","Cyclical learning rates"
"Deep Learning Fundamentals","Learning Rate Scheduling","ReduceLROnPlateau"
"Deep Learning Fundamentals","Hyperparameter Tuning","Grid search, random search"
"Deep Learning Fundamentals","Hyperparameter Tuning","Bayesian optimization"
"Deep Learning Fundamentals","Hyperparameter Tuning","Hyperband, BOHB"
"Deep Learning Fundamentals","Hyperparameter Tuning","Population-based training"
"Deep Learning Fundamentals","Hyperparameter Tuning","Optuna, Ray Tune"
"Deep Learning Fundamentals","Gradient Issues","Vanishing gradients"
"Deep Learning Fundamentals","Gradient Issues","Exploding gradients"
"Deep Learning Fundamentals","Gradient Issues","Gradient clipping"
"Deep Learning Fundamentals","Gradient Issues","Gradient accumulation"
"Deep Learning Fundamentals","Convolutional Neural Networks","Convolution operation (1D, 2D, 3D)"
"Deep Learning Fundamentals","Convolutional Neural Networks","Cross-correlation vs convolution"
"Deep Learning Fundamentals","Convolutional Neural Networks","Padding (valid, same, causal)"
"Deep Learning Fundamentals","Convolutional Neural Networks","Strides"
"Deep Learning Fundamentals","Convolutional Neural Networks","Dilated/atrous convolution"
"Deep Learning Fundamentals","Convolutional Neural Networks","Transposed/deconvolution"
"Deep Learning Fundamentals","Convolutional Neural Networks","Depthwise and depthwise-separable convolution"
"Deep Learning Fundamentals","Convolutional Neural Networks","Grouped convolution"
"Deep Learning Fundamentals","Convolutional Neural Networks","1x1 convolutions"
"Deep Learning Fundamentals","Convolutional Neural Networks","Pooling (max, average, global, adaptive)"
"Deep Learning Fundamentals","Convolutional Neural Networks","Receptive fields"
"Deep Learning Fundamentals","Convolutional Neural Networks","Feature maps and channels"
"Deep Learning Fundamentals","CNN Architectures","LeNet-5"
"Deep Learning Fundamentals","CNN Architectures","AlexNet"
"Deep Learning Fundamentals","CNN Architectures","VGG (16, 19)"
"Deep Learning Fundamentals","CNN Architectures","GoogLeNet / Inception (v1-v4, Inception-ResNet)"
"Deep Learning Fundamentals","CNN Architectures","ResNet, ResNeXt, Wide ResNet"
"Deep Learning Fundamentals","CNN Architectures","DenseNet"
"Deep Learning Fundamentals","CNN Architectures","SqueezeNet"
"Deep Learning Fundamentals","CNN Architectures","MobileNet (v1, v2, v3)"
"Deep Learning Fundamentals","CNN Architectures","ShuffleNet"
"Deep Learning Fundamentals","CNN Architectures","EfficientNet (v1, v2)"
"Deep Learning Fundamentals","CNN Architectures","RegNet"
"Deep Learning Fundamentals","CNN Architectures","ConvNeXt, ConvNeXt v2"
"Deep Learning Fundamentals","Recurrent Neural Networks","Vanilla RNN"
"Deep Learning Fundamentals","Recurrent Neural Networks","Backpropagation Through Time (BPTT)"
"Deep Learning Fundamentals","Recurrent Neural Networks","Truncated BPTT"
"Deep Learning Fundamentals","Recurrent Neural Networks","Vanishing/exploding gradient in RNNs"
"Deep Learning Fundamentals","Recurrent Neural Networks","LSTM (cells, gates, peephole)"
"Deep Learning Fundamentals","Recurrent Neural Networks","GRU"
"Deep Learning Fundamentals","Recurrent Neural Networks","Bidirectional RNNs"
"Deep Learning Fundamentals","Recurrent Neural Networks","Deep / stacked RNNs"
"Deep Learning Fundamentals","Recurrent Neural Networks","Encoder-decoder / sequence-to-sequence"
"Deep Learning Fundamentals","Recurrent Neural Networks","Teacher forcing and exposure bias"
"Deep Learning Fundamentals","Recurrent Neural Networks","Beam search decoding"
"Deep Learning Fundamentals","Attention Mechanisms (Pre-Transformer)","Bahdanau (additive) attention"
"Deep Learning Fundamentals","Attention Mechanisms (Pre-Transformer)","Luong (multiplicative) attention"
"Deep Learning Fundamentals","Attention Mechanisms (Pre-Transformer)","Self-attention"
"Deep Learning Fundamentals","Attention Mechanisms (Pre-Transformer)","Multi-head attention"
"Deep Learning Fundamentals","Attention Mechanisms (Pre-Transformer)","Hard vs soft attention"
"Deep Learning Fundamentals","Autoencoders","Vanilla autoencoders"
"Deep Learning Fundamentals","Autoencoders","Undercomplete and overcomplete autoencoders"
"Deep Learning Fundamentals","Autoencoders","Denoising autoencoders"
"Deep Learning Fundamentals","Autoencoders","Sparse autoencoders"
"Deep Learning Fundamentals","Autoencoders","Contractive autoencoders"
"Deep Learning Fundamentals","Autoencoders","Variational Autoencoders (VAE)"
"Deep Learning Fundamentals","Autoencoders","Beta-VAE"
"Deep Learning Fundamentals","Autoencoders","VQ-VAE"
"Deep Learning Fundamentals","Autoencoders","VQ-VAE-2"
"Deep Learning Fundamentals","Autoencoders","Discrete latent variable models"
"Deep Learning Fundamentals","Generative Adversarial Networks","Vanilla GAN"
"Deep Learning Fundamentals","Generative Adversarial Networks","DCGAN"
"Deep Learning Fundamentals","Generative Adversarial Networks","Conditional GAN (cGAN)"
"Deep Learning Fundamentals","Generative Adversarial Networks","WGAN, WGAN-GP"
"Deep Learning Fundamentals","Generative Adversarial Networks","LSGAN, BEGAN"
"Deep Learning Fundamentals","Generative Adversarial Networks","Progressive GAN"
"Deep Learning Fundamentals","Generative Adversarial Networks","StyleGAN, StyleGAN2, StyleGAN3"
"Deep Learning Fundamentals","Generative Adversarial Networks","BigGAN"
"Deep Learning Fundamentals","Generative Adversarial Networks","CycleGAN, Pix2Pix"
"Deep Learning Fundamentals","Generative Adversarial Networks","SRGAN, ESRGAN"
"Deep Learning Fundamentals","Generative Adversarial Networks","Mode collapse and training stability"
"Deep Learning Fundamentals","Normalizing Flows","RealNVP"
"Deep Learning Fundamentals","Normalizing Flows","Glow"
"Deep Learning Fundamentals","Normalizing Flows","NICE"
"Deep Learning Fundamentals","Normalizing Flows","MAF"
"Deep Learning Fundamentals","Normalizing Flows","IAF"
"Deep Learning Fundamentals","Normalizing Flows","Neural spline flows"
"Deep Learning Fundamentals","Autoregressive Models","PixelRNN"
"Deep Learning Fundamentals","Autoregressive Models","PixelCNN"
"Deep Learning Fundamentals","Autoregressive Models","MADE"
"Deep Learning Fundamentals","Energy-Based Models","Boltzmann machines"
"Deep Learning Fundamentals","Energy-Based Models","Restricted Boltzmann Machines (RBMs)"
"Deep Learning Fundamentals","Energy-Based Models","Deep Boltzmann Machines (DBMs)"
"Deep Learning Fundamentals","Energy-Based Models","Score matching"
"Deep Learning Fundamentals","Energy-Based Models","Denoising score matching"
"Deep Learning Fundamentals","Energy-Based Models","Contrastive divergence"
"Deep Learning Fundamentals","Diffusion Models","DDPM (Denoising Diffusion Probabilistic Models)"
"Deep Learning Fundamentals","Diffusion Models","DDIM (Denoising Diffusion Implicit Models)"
"Deep Learning Fundamentals","Diffusion Models","Score-based models (NCSN)"
"Deep Learning Fundamentals","Diffusion Models","SDE-based diffusion"
"Deep Learning Fundamentals","Diffusion Models","Latent diffusion"
"Deep Learning Fundamentals","Diffusion Models","Classifier-free guidance"
"Deep Learning Fundamentals","Diffusion Models","Consistency models"
"Deep Learning Fundamentals","Flow Matching","Conditional flow matching"
"Deep Learning Fundamentals","Flow Matching","Rectified flow"
"Deep Learning Fundamentals","Flow Matching","Reflow / rectified diffusion"
"Deep Learning Fundamentals","Theoretical Concepts","Lottery ticket hypothesis"
"Deep Learning Fundamentals","Theoretical Concepts","Double descent"
"Deep Learning Fundamentals","Theoretical Concepts","Implicit regularization"
"Deep Learning Fundamentals","Theoretical Concepts","Neural Tangent Kernel"
"Deep Learning Fundamentals","Theoretical Concepts","Information bottleneck"
"Transformers and LLMs","Transformer Architecture","Scaled dot-product attention"
"Transformers and LLMs","Transformer Architecture","Self-attention"
"Transformers and LLMs","Transformer Architecture","Multi-head attention"
"Transformers and LLMs","Transformer Architecture","Multi-Query Attention (MQA)"
"Transformers and LLMs","Transformer Architecture","Grouped-Query Attention (GQA)"
"Transformers and LLMs","Transformer Architecture","Multi-Latent Attention (MLA)"
"Transformers and LLMs","Transformer Architecture","Cross-attention"
"Transformers and LLMs","Transformer Architecture","Causal / masked attention"
"Transformers and LLMs","Transformer Architecture","Feedforward / MLP blocks"
"Transformers and LLMs","Transformer Architecture","SwiGLU and gated activations"
"Transformers and LLMs","Transformer Architecture","Residual connections"
"Transformers and LLMs","Transformer Architecture","Pre-norm vs post-norm"
"Transformers and LLMs","Transformer Architecture","Layer normalization and RMSNorm"
"Transformers and LLMs","Transformer Architecture","Encoder-only architectures"
"Transformers and LLMs","Transformer Architecture","Decoder-only architectures"
"Transformers and LLMs","Transformer Architecture","Encoder-decoder architectures"
"Transformers and LLMs","Transformer Architecture","Tied vs untied embeddings"
"Transformers and LLMs","Positional Encodings","Sinusoidal positional encoding"
"Transformers and LLMs","Positional Encodings","Learned positional embeddings"
"Transformers and LLMs","Positional Encodings","Relative positional encoding"
"Transformers and LLMs","Positional Encodings","Rotary Position Embeddings (RoPE)"
"Transformers and LLMs","Positional Encodings","ALiBi"
"Transformers and LLMs","Positional Encodings","YaRN, NTK-aware scaling"
"Transformers and LLMs","Tokenization","Word-level tokenization"
"Transformers and LLMs","Tokenization","Character-level tokenization"
"Transformers and LLMs","Tokenization","Byte-Pair Encoding (BPE)"
"Transformers and LLMs","Tokenization","Byte-level BPE"
"Transformers and LLMs","Tokenization","WordPiece"
"Transformers and LLMs","Tokenization","SentencePiece"
"Transformers and LLMs","Tokenization","Unigram language model tokenization"
"Transformers and LLMs","Tokenization","Tiktoken"
"Transformers and LLMs","Tokenization","Vocabulary size tradeoffs"
"Transformers and LLMs","Tokenization","Special tokens and chat templates"
"Transformers and LLMs","Tokenization","Tokenizer training"
"Transformers and LLMs","LLM Architectures","Original Transformer (Vaswani et al.)"
"Transformers and LLMs","LLM Architectures","BERT, RoBERTa, ALBERT, DistilBERT"
"Transformers and LLMs","LLM Architectures","DeBERTa (v1/v2/v3)"
"Transformers and LLMs","LLM Architectures","ELECTRA"
"Transformers and LLMs","LLM Architectures","XLNet"
"Transformers and LLMs","LLM Architectures","GPT-1/2/3/3.5/4/4o/5"
"Transformers and LLMs","LLM Architectures","GPT-J, GPT-NeoX"
"Transformers and LLMs","LLM Architectures","T5, FLAN-T5"
"Transformers and LLMs","LLM Architectures","BART"
"Transformers and LLMs","LLM Architectures","mT5, UL2"
"Transformers and LLMs","LLM Architectures","LLaMA 1/2/3/4"
"Transformers and LLMs","LLM Architectures","Mistral, Mixtral"
"Transformers and LLMs","LLM Architectures","Falcon"
"Transformers and LLMs","LLM Architectures","Qwen 2/3"
"Transformers and LLMs","LLM Architectures","DeepSeek V2/V3/R1"
"Transformers and LLMs","LLM Architectures","Gemma 1/2/3"
"Transformers and LLMs","LLM Architectures","Phi-3/4"
"Transformers and LLMs","LLM Architectures","Yi, Kimi, GLM, MiniMax, Nemotron, Command R/A"
"Transformers and LLMs","LLM Architectures","Claude (Sonnet/Opus)"
"Transformers and LLMs","LLM Architectures","Gemini"
"Transformers and LLMs","LLM Architectures","ChatGPT / o-series"
"Transformers and LLMs","LLM Architectures","State Space Models (S4, S5, S6)"
"Transformers and LLMs","LLM Architectures","Mamba, Mamba-2"
"Transformers and LLMs","LLM Architectures","RWKV"
"Transformers and LLMs","LLM Architectures","RetNet"
"Transformers and LLMs","LLM Architectures","Linear Transformer, Performer, Linformer"
"Transformers and LLMs","LLM Architectures","Hybrid Architectures (Jamba, Granite 4.0, Qwen3-Next, Kimi Linear, Hymba)"
"Transformers and LLMs","LLM Architectures","Mixture of Experts (MoE) architectures"
"Transformers and LLMs","LLM Architectures","Switch Transformer, GShard"
"Transformers and LLMs","LLM Architectures","DeepSeek-MoE, fine-grained experts, shared experts"
"Transformers and LLMs","LLM Architectures","MoE routing strategies"
"Transformers and LLMs","LLM Architectures","Long-context models"
"Transformers and LLMs","LLM Architectures","Multi-token prediction architectures"
"Transformers and LLMs","Pre-training Objectives","Causal language modeling (next-token prediction)"
"Transformers and LLMs","Pre-training Objectives","Masked language modeling (MLM)"
"Transformers and LLMs","Pre-training Objectives","Span corruption (T5)"
"Transformers and LLMs","Pre-training Objectives","Prefix language modeling"
"Transformers and LLMs","Pre-training Objectives","Permutation language modeling"
"Transformers and LLMs","Pre-training Objectives","Fill-in-the-Middle (FIM)"
"Transformers and LLMs","Pre-training Objectives","Denoising objectives"
"Transformers and LLMs","Pre-training Objectives","Replaced token detection (ELECTRA)"
"Transformers and LLMs","Scaling and Emergence","Kaplan scaling laws"
"Transformers and LLMs","Scaling and Emergence","Chinchilla scaling laws"
"Transformers and LLMs","Scaling and Emergence","Compute-optimal training"
"Transformers and LLMs","Scaling and Emergence","Emergent abilities and phase transitions"
"Transformers and LLMs","Scaling and Emergence","Loss-to-performance prediction"
"Transformers and LLMs","Scaling and Emergence","Maximal update parameterization (muP)"
"Transformers and LLMs","Scaling and Emergence","Inference-time scaling vs pretraining scaling"
"Transformers and LLMs","Fine-tuning and Adaptation","Full fine-tuning"
"Transformers and LLMs","Fine-tuning and Adaptation","Instruction tuning / SFT"
"Transformers and LLMs","Fine-tuning and Adaptation","Continued pretraining / domain adaptation"
"Transformers and LLMs","Fine-tuning and Adaptation","Knowledge distillation"
"Transformers and LLMs","Fine-tuning and Adaptation","Model merging (TIES, DARE, task arithmetic, SLERP)"
"Transformers and LLMs","Parameter-Efficient Fine-Tuning","Adapters, AdapterFusion"
"Transformers and LLMs","Parameter-Efficient Fine-Tuning","Prefix tuning"
"Transformers and LLMs","Parameter-Efficient Fine-Tuning","Prompt tuning"
"Transformers and LLMs","Parameter-Efficient Fine-Tuning","P-tuning v1/v2"
"Transformers and LLMs","Parameter-Efficient Fine-Tuning","LoRA"
"Transformers and LLMs","Parameter-Efficient Fine-Tuning","QLoRA"
"Transformers and LLMs","Parameter-Efficient Fine-Tuning","DoRA"
"Transformers and LLMs","Parameter-Efficient Fine-Tuning","VeRA, LoftQ, GaLore"
"Transformers and LLMs","Parameter-Efficient Fine-Tuning","IA3"
"Transformers and LLMs","Alignment and Preference Optimization","RLHF pipeline (SFT then reward model then PPO)"
"Transformers and LLMs","Alignment and Preference Optimization","Reward modeling"
"Transformers and LLMs","Alignment and Preference Optimization","PPO for LLMs"
"Transformers and LLMs","Alignment and Preference Optimization","Direct Preference Optimization (DPO)"
"Transformers and LLMs","Alignment and Preference Optimization","Identity Preference Optimization (IPO)"
"Transformers and LLMs","Alignment and Preference Optimization","Kahneman-Tversky Optimization (KTO)"
"Transformers and LLMs","Alignment and Preference Optimization","Odds Ratio Preference Optimization (ORPO)"
"Transformers and LLMs","Alignment and Preference Optimization","Simple Preference Optimization (SimPO)"
"Transformers and LLMs","Alignment and Preference Optimization","Group Relative Policy Optimization (GRPO)"
"Transformers and LLMs","Alignment and Preference Optimization","DAPO, REINFORCE++"
"Transformers and LLMs","Alignment and Preference Optimization","RLAIF and Constitutional AI"
"Transformers and LLMs","Alignment and Preference Optimization","Self-rewarding language models"
"Transformers and LLMs","Alignment and Preference Optimization","Rejection sampling fine-tuning"
"Transformers and LLMs","Alignment and Preference Optimization","Best-of-N and reranking"
"Transformers and LLMs","Reasoning and Inference-Time Techniques","In-context learning"
"Transformers and LLMs","Reasoning and Inference-Time Techniques","Few-shot prompting"
"Transformers and LLMs","Reasoning and Inference-Time Techniques","Zero-shot prompting"
"Transformers and LLMs","Reasoning and Inference-Time Techniques","Chain-of-Thought (CoT)"
"Transformers and LLMs","Reasoning and Inference-Time Techniques","Self-consistency"
"Transformers and LLMs","Reasoning and Inference-Time Techniques","Tree-of-Thoughts"
"Transformers and LLMs","Reasoning and Inference-Time Techniques","Graph-of-Thoughts"
"Transformers and LLMs","Reasoning and Inference-Time Techniques","ReAct (reasoning + acting)"
"Transformers and LLMs","Reasoning and Inference-Time Techniques","Reflexion / self-reflection"
"Transformers and LLMs","Reasoning and Inference-Time Techniques","Process reward models vs outcome reward models"
"Transformers and LLMs","Reasoning and Inference-Time Techniques","Test-time compute scaling"
"Transformers and LLMs","Reasoning and Inference-Time Techniques","Long CoT reasoning models (o1, R1, QwQ)"
"Transformers and LLMs","Reasoning and Inference-Time Techniques","Speculative reasoning / search-based decoding"
"Transformers and LLMs","Reasoning and Inference-Time Techniques","Monte Carlo Tree Search with LLMs"
"Transformers and LLMs","Retrieval-Augmented Generation","Dense retrieval and embeddings"
"Transformers and LLMs","Retrieval-Augmented Generation","Sparse retrieval (BM25)"
"Transformers and LLMs","Retrieval-Augmented Generation","Hybrid retrieval"
"Transformers and LLMs","Retrieval-Augmented Generation","Reranking (cross-encoders, ColBERT, late interaction)"
"Transformers and LLMs","Retrieval-Augmented Generation","Chunking strategies"
"Transformers and LLMs","Retrieval-Augmented Generation","Vector databases (FAISS, Milvus, Pinecone, Weaviate, Qdrant, Chroma, pgvector)"
"Transformers and LLMs","Retrieval-Augmented Generation","Approximate nearest neighbor search (HNSW, IVF, PQ)"
"Transformers and LLMs","Retrieval-Augmented Generation","Multi-vector and ColBERT-style retrieval"
"Transformers and LLMs","Retrieval-Augmented Generation","Graph RAG"
"Transformers and LLMs","Retrieval-Augmented Generation","Agentic RAG"
"Transformers and LLMs","Retrieval-Augmented Generation","Long-context RAG vs retrieval"
"Transformers and LLMs","Retrieval-Augmented Generation","Evaluation of RAG (faithfulness, answer relevance)"
"Transformers and LLMs","Agents and Tool Use","Function calling / tool calling"
"Transformers and LLMs","Agents and Tool Use","Model Context Protocol (MCP)"
"Transformers and LLMs","Agents and Tool Use","Agent loops (think, act, observe)"
"Transformers and LLMs","Agents and Tool Use","ReAct-style agents"
"Transformers and LLMs","Agents and Tool Use","Multi-agent systems and orchestration"
"Transformers and LLMs","Agents and Tool Use","Agent-to-Agent (A2A) protocols"
"Transformers and LLMs","Agents and Tool Use","Agent skills"
"Transformers and LLMs","Agents and Tool Use","Code execution and code interpreter agents"
"Transformers and LLMs","Agents and Tool Use","Web/browser agents"
"Transformers and LLMs","Agents and Tool Use","Computer-use / GUI agents"
"Transformers and LLMs","Agents and Tool Use","Memory systems for agents"
"Transformers and LLMs","Agents and Tool Use","Planning and task decomposition"
"Transformers and LLMs","Long-Context Techniques","Sliding window attention"
"Transformers and LLMs","Long-Context Techniques","Sparse attention patterns (Longformer, BigBird)"
"Transformers and LLMs","Long-Context Techniques","Sliding window + global tokens"
"Transformers and LLMs","Long-Context Techniques","Ring attention"
"Transformers and LLMs","Long-Context Techniques","Blockwise / chunked attention"
"Transformers and LLMs","Long-Context Techniques","StreamingLLM and attention sinks"
"Transformers and LLMs","Long-Context Techniques","FlashAttention 1/2/3"
"Transformers and LLMs","Long-Context Techniques","FlashInfer"
"Transformers and LLMs","Long-Context Techniques","Position interpolation, NTK scaling, YaRN"
"Transformers and LLMs","Long-Context Techniques","KV cache management and compression"
"Transformers and LLMs","Long-Context Techniques","H2O, KV eviction strategies"
"Transformers and LLMs","Quantization","INT8 quantization"
"Transformers and LLMs","Quantization","INT4 quantization"
"Transformers and LLMs","Quantization","GPTQ"
"Transformers and LLMs","Quantization","AWQ"
"Transformers and LLMs","Quantization","GGUF / llama.cpp formats"
"Transformers and LLMs","Quantization","SmoothQuant"
"Transformers and LLMs","Quantization","FP8 (E4M3/E5M2)"
"Transformers and LLMs","Quantization","MXFP8, MXFP4, NVFP4"
"Transformers and LLMs","Quantization","Quantization-aware training"
"Transformers and LLMs","Inference Optimization","KV caching"
"Transformers and LLMs","Inference Optimization","PagedAttention (vLLM)"
"Transformers and LLMs","Inference Optimization","vAttention"
"Transformers and LLMs","Inference Optimization","Continuous batching / in-flight batching"
"Transformers and LLMs","Inference Optimization","Speculative decoding (draft models, EAGLE 1/2/3, Medusa, n-gram, suffix)"
"Transformers and LLMs","Inference Optimization","Lookahead decoding"
"Transformers and LLMs","Inference Optimization","Tree attention / DeFT"
"Transformers and LLMs","Inference Optimization","Pruning (structured, unstructured, magnitude, movement)"
"Transformers and LLMs","Inference Optimization","Distillation for inference"
"Transformers and LLMs","Inference Optimization","Speculative streaming"
"Transformers and LLMs","Inference Optimization","Disaggregated prefill/decode"
"Transformers and LLMs","Inference Engines","vLLM"
"Transformers and LLMs","Inference Engines","SGLang"
"Transformers and LLMs","Inference Engines","TensorRT-LLM"
"Transformers and LLMs","Inference Engines","Text Generation Inference (TGI)"
"Transformers and LLMs","Inference Engines","llama.cpp"
"Transformers and LLMs","Inference Engines","ExLlama"
"Transformers and LLMs","Inference Engines","MLC-LLM"
"Transformers and LLMs","Inference Engines","Triton Inference Server"
"Transformers and LLMs","Mechanistic Interpretability","Probing classifiers"
"Transformers and LLMs","Mechanistic Interpretability","Activation patching and causal interventions"
"Transformers and LLMs","Mechanistic Interpretability","Logit lens, tuned lens"
"Transformers and LLMs","Mechanistic Interpretability","Circuit analysis"
"Transformers and LLMs","Mechanistic Interpretability","Induction heads"
"Transformers and LLMs","Mechanistic Interpretability","Superposition and polysemanticity"
"Transformers and LLMs","Mechanistic Interpretability","Sparse autoencoders (SAEs) for features"
"Transformers and LLMs","Mechanistic Interpretability","Transcoders"
"Transformers and LLMs","Mechanistic Interpretability","Feature steering and activation steering"
"Transformers and LLMs","Mechanistic Interpretability","Representation engineering"
"Transformers and LLMs","Mechanistic Interpretability","Dictionary learning"
"Transformers and LLMs","LLM Safety and Red Teaming","Helpfulness, honesty, harmlessness (HHH)"
"Transformers and LLMs","LLM Safety and Red Teaming","Jailbreaks (universal, prompt injection, many-shot, GCG, PAIR)"
"Transformers and LLMs","LLM Safety and Red Teaming","Constitutional AI and constitutional classifiers"
"Transformers and LLMs","LLM Safety and Red Teaming","Adversarial robustness for LLMs"
"Transformers and LLMs","LLM Safety and Red Teaming","Refusal training"
"Transformers and LLMs","LLM Safety and Red Teaming","Specification gaming and reward hacking"
"Transformers and LLMs","LLM Safety and Red Teaming","Deceptive alignment"
"Transformers and LLMs","LLM Safety and Red Teaming","Sleeper agents"
"Transformers and LLMs","LLM Safety and Red Teaming","Watermarking LLM outputs"
"Transformers and LLMs","LLM Safety and Red Teaming","Model unlearning"
"Natural Language Processing","Text Preprocessing","Tokenization (white-space, rule-based, subword)"
"Natural Language Processing","Text Preprocessing","Normalization, lowercasing, Unicode handling"
"Natural Language Processing","Text Preprocessing","Stop-word removal"
"Natural Language Processing","Text Preprocessing","Stemming (Porter, Snowball)"
"Natural Language Processing","Text Preprocessing","Lemmatization"
"Natural Language Processing","Text Preprocessing","Sentence segmentation"
"Natural Language Processing","Text Preprocessing","Text cleaning and noise removal"
"Natural Language Processing","Text Preprocessing","Language detection"
"Natural Language Processing","Linguistic Foundations","Morphology"
"Natural Language Processing","Linguistic Foundations","Syntax"
"Natural Language Processing","Linguistic Foundations","Semantics"
"Natural Language Processing","Linguistic Foundations","Pragmatics"
"Natural Language Processing","Linguistic Foundations","Constituency and dependency parsing"
"Natural Language Processing","Word and Sentence Representations","One-hot encoding"
"Natural Language Processing","Word and Sentence Representations","Bag-of-words"
"Natural Language Processing","Word and Sentence Representations","TF-IDF"
"Natural Language Processing","Word and Sentence Representations","n-gram models"
"Natural Language Processing","Word and Sentence Representations","Word2Vec (CBOW, Skip-gram, negative sampling)"
"Natural Language Processing","Word and Sentence Representations","GloVe"
"Natural Language Processing","Word and Sentence Representations","FastText"
"Natural Language Processing","Word and Sentence Representations","ELMo"
"Natural Language Processing","Word and Sentence Representations","Contextual embeddings (BERT-style)"
"Natural Language Processing","Word and Sentence Representations","Sentence embeddings (Sentence-BERT, SimCSE)"
"Natural Language Processing","Word and Sentence Representations","Cross-encoders vs bi-encoders"
"Natural Language Processing","Word and Sentence Representations","Multilingual embeddings (mBERT, XLM-R, LaBSE)"
"Natural Language Processing","Language Modeling","n-gram language models and smoothing"
"Natural Language Processing","Language Modeling","Neural language models (Bengio)"
"Natural Language Processing","Language Modeling","Recurrent LMs"
"Natural Language Processing","Language Modeling","Transformer LMs"
"Natural Language Processing","Core NLP Tasks","POS tagging"
"Natural Language Processing","Core NLP Tasks","Named Entity Recognition (NER)"
"Natural Language Processing","Core NLP Tasks","Chunking"
"Natural Language Processing","Core NLP Tasks","Constituency and dependency parsing"
"Natural Language Processing","Core NLP Tasks","Coreference resolution"
"Natural Language Processing","Core NLP Tasks","Semantic role labeling"
"Natural Language Processing","Core NLP Tasks","Word sense disambiguation"
"Natural Language Processing","Core NLP Tasks","Entity linking"
"Natural Language Processing","Core NLP Tasks","Relation extraction"
"Natural Language Processing","Core NLP Tasks","Event extraction"
"Natural Language Processing","Core NLP Tasks","Text classification"
"Natural Language Processing","Core NLP Tasks","Sentiment analysis and aspect-based sentiment"
"Natural Language Processing","Core NLP Tasks","Topic modeling"
"Natural Language Processing","Core NLP Tasks","Text similarity / paraphrase detection"
"Natural Language Processing","Core NLP Tasks","Natural language inference (NLI)"
"Natural Language Processing","Generation Tasks","Machine translation (statistical, neural, transformer)"
"Natural Language Processing","Generation Tasks","Summarization (extractive, abstractive)"
"Natural Language Processing","Generation Tasks","Question answering (extractive, generative, open-domain)"
"Natural Language Processing","Generation Tasks","Dialogue systems and conversational AI"
"Natural Language Processing","Generation Tasks","Data-to-text generation"
"Natural Language Processing","Generation Tasks","Style transfer"
"Natural Language Processing","Information Retrieval and Search","Inverted indexes"
"Natural Language Processing","Information Retrieval and Search","BM25 and probabilistic retrieval"
"Natural Language Processing","Information Retrieval and Search","Learning to rank"
"Natural Language Processing","Information Retrieval and Search","Dense retrieval (DPR)"
"Natural Language Processing","Information Retrieval and Search","ColBERT and late interaction"
"Natural Language Processing","Information Retrieval and Search","Cross-encoder reranking"
"Natural Language Processing","Information Retrieval and Search","Semantic search"
"Natural Language Processing","Decoding Strategies","Greedy decoding"
"Natural Language Processing","Decoding Strategies","Beam search"
"Natural Language Processing","Decoding Strategies","Temperature sampling"
"Natural Language Processing","Decoding Strategies","Top-k sampling"
"Natural Language Processing","Decoding Strategies","Top-p / nucleus sampling"
"Natural Language Processing","Decoding Strategies","Min-p sampling"
"Natural Language Processing","Decoding Strategies","Typical sampling, eta-sampling"
"Natural Language Processing","Decoding Strategies","Contrastive decoding"
"Natural Language Processing","Decoding Strategies","Constrained decoding"
"Computer Vision","Image Processing Fundamentals","Digital image representations"
"Computer Vision","Image Processing Fundamentals","Color spaces (RGB, HSV, Lab, YCbCr)"
"Computer Vision","Image Processing Fundamentals","Histograms and equalization"
"Computer Vision","Image Processing Fundamentals","Filtering (linear, nonlinear, Gaussian, median)"
"Computer Vision","Image Processing Fundamentals","Edge detection (Sobel, Canny, Laplacian)"
"Computer Vision","Image Processing Fundamentals","Morphological operations (erosion, dilation, opening, closing)"
"Computer Vision","Image Processing Fundamentals","Image pyramids"
"Computer Vision","Image Processing Fundamentals","Fourier and wavelet transforms for images"
"Computer Vision","Mathematical Foundations of CV","Homogeneous coordinates"
"Computer Vision","Mathematical Foundations of CV","Projective and affine geometry"
"Computer Vision","Mathematical Foundations of CV","Camera models (pinhole, intrinsics, extrinsics, distortion)"
"Computer Vision","Mathematical Foundations of CV","Multiple-view geometry"
"Computer Vision","Mathematical Foundations of CV","Epipolar geometry and fundamental matrix"
"Computer Vision","Mathematical Foundations of CV","Stereo vision and triangulation"
"Computer Vision","Mathematical Foundations of CV","Structure from Motion"
"Computer Vision","Mathematical Foundations of CV","Bundle adjustment"
"Computer Vision","Mathematical Foundations of CV","Lie groups for rotations (SO(3), SE(3))"
"Computer Vision","Classical Computer Vision","Feature detection (Harris, FAST)"
"Computer Vision","Classical Computer Vision","Feature descriptors (SIFT, SURF, ORB, BRIEF)"
"Computer Vision","Classical Computer Vision","HOG (Histogram of Oriented Gradients)"
"Computer Vision","Classical Computer Vision","Optical flow (Lucas-Kanade, Horn-Schunck, Farneback)"
"Computer Vision","Classical Computer Vision","Feature matching, RANSAC"
"Computer Vision","Classical Computer Vision","Image stitching and panoramas"
"Computer Vision","Classical Computer Vision","Hough transforms"
"Computer Vision","Image Classification","ImageNet pipeline"
"Computer Vision","Image Classification","Classical CNNs (LeNet through EfficientNet)"
"Computer Vision","Image Classification","Data augmentation strategies"
"Computer Vision","Image Classification","Test-time augmentation"
